"ReachDir" "MvmtTime" "Lat" "Trial" "Base" "Adapt" "Drift" "PostDrift" "Washout" "Subj"
"116" -43.183 180.769 505.769 "6" "0" "0" "1" "0" "0" "S32"
"117" -45.088 188.462 515.385 "7" "0" "0" "0" "1" "0" "S32"
"118" -46.064 184.615 534.615 "8" "0" "0" "0" "1" "0" "S32"
"119" -8.204 184.615 359.615 "9" "0" "0" "0" "0" "1" "S32"
"120" -5.348 175.000 344.231 "10" "0" "0" "0" "0" "1" "S32"
"121" -0.933 190.385 396.154 "1" "1" "0" "0" "0" "0" "S33"
"122" 3.395 186.538 405.769 "2" "1" "0" "0" "0" "0" "S33"
"123" -65.155 238.462 684.615 "3" "0" "1" "0" "0" "0" "S33"
"124" -42.691 215.385 602.564 "4" "0" "1" "0" "0" "0" "S33"
"125" -46.138 194.872 600.000 "5" "0" "0" "1" "0" "0" "S33"
"126" -46.492 188.462 561.538 "6" "0" "0" "1" "0" "0" "S33"
"127" -45.420 201.923 632.692 "7" "0" "0" "0" "1" "0" "S33"
"128" -42.582 194.872 556.410 "8" "0" "0" "0" "1" "0" "S33"
"129" -4.041 196.154 448.077 "9" "0" "0" "0" "0" "1" "S33"
"130" -4.497 194.231 394.231 "10" "0" "0" "0" "0" "1" "S33"
"131" 0.824 194.231 442.308 "1" "1" "0" "0" "0" "0" "S34"
"132" 1.070 223.077 417.308 "2" "1" "0" "0" "0" "0" "S34"
"133" -48.550 173.077 690.385 "3" "0" "1" "0" "0" "0" "S34"
"134" -49.510 169.231 869.231 "4" "0" "1" "0" "0" "0" "S34"
"135" -53.326 221.154 801.923 "5" "0" "0" "1" "0" "0" "S34"
"136" -53.594 184.615 709.615 "6" "0" "0" "1" "0" "0" "S34"
"137" -51.324 187.179 715.385 "7" "0" "0" "0" "1" "0" "S34"
"138" -51.366 171.795 871.795 "8" "0" "0" "0" "1" "0" "S34"
"139" -6.463 188.462 484.615 "9" "0" "0" "0" "0" "1" "S34"
"140" -0.943 203.846 575.000 "10" "0" "0" "0" "0" "1" "S34"
